customer_id,first_purchase_date,last_purchase_date,days_since_last_purchase,customer_lifetime_days,total_transactions,avg_days_between_purchases,total_spent,avg_order_value,spending_std,unique_products,favorite_category,product_diversity,preferred_channel,channel_diversity,is_churned,cluster,cluster_name
CUST001000,2023-10-20,2023-12-14,17,55,41,1.375,2277.45,55.54756097560975,42.361207594949875,11,Subscription,0.2682926829268293,Website,3,0,1,Champions
CUST001001,2022-08-01,2023-12-17,14,503,53,9.673076923076923,2380.85,44.92169811320755,28.611241922863993,16,Subscription,0.3018867924528302,Website,3,0,1,Champions
CUST001002,2022-08-14,2023-12-13,18,486,72,6.845070422535211,3314.12,46.02944444444445,35.46120113028469,18,Subscription,0.25,Website,3,0,1,Champions
CUST001003,2022-11-24,2023-12-07,24,378,77,4.973684210526316,3412.6499999999996,44.32012987012987,30.796163615034335,18,Subscription,0.2337662337662337,Website,3,0,1,Champions
CUST001004,2022-05-28,2023-12-18,13,569,77,7.486842105263157,2838.13,36.85883116883117,23.676947814834246,18,Subscription,0.2337662337662337,Website,3,0,1,Champions
CUST001005,2023-07-21,2023-12-18,13,150,83,1.829268292682927,4138.44,49.86072289156626,44.58432782128641,18,Subscription,0.216867469879518,Website,3,0,1,Champions
CUST001006,2022-08-31,2023-12-07,24,463,35,13.617647058823527,1786.11,51.03171428571428,38.4439356868211,15,Equipment,0.4285714285714285,Website,3,0,1,Champions
CUST001007,2023-05-23,2023-12-12,19,203,59,3.5,2669.4,45.244067796610175,29.519891897676327,16,Subscription,0.2711864406779661,Website,3,0,1,Champions
CUST001008,2023-07-26,2023-12-19,12,146,70,2.1159420289855073,3144.74,44.92485714285714,24.724539165287144,18,Subscription,0.2571428571428571,Website,3,0,1,Champions
CUST001009,2022-12-13,2023-12-13,18,365,58,6.4035087719298245,2728.77,47.047758620689656,28.990694032777437,15,Subscription,0.2586206896551724,Website,3,0,1,Champions
CUST001010,2023-09-05,2023-12-19,12,105,40,2.6923076923076925,2104.5,52.6125,32.83088053443993,13,Subscription,0.325,Website,3,0,1,Champions
CUST001011,2022-04-13,2023-12-19,12,615,46,13.666666666666666,2015.98,43.82565217391304,26.300362874739864,16,Subscription,0.3478260869565217,Website,3,0,1,Champions
CUST001012,2022-12-12,2023-12-15,16,368,84,4.433734939759036,3680.54,43.81595238095238,29.661867294073023,17,Subscription,0.2023809523809523,Website,3,0,1,Champions
CUST001013,2022-02-03,2023-12-28,3,693,52,13.588235294117649,2454.3599999999997,47.199230769230766,38.55533964424326,17,Subscription,0.3269230769230769,Website,3,0,1,Champions
CUST001014,2022-09-20,2023-12-27,4,463,78,6.012987012987013,3244.5899999999997,41.59730769230769,32.16471482339506,16,Coffee,0.2051282051282051,Website,3,0,1,Champions
CUST001015,2023-09-24,2023-12-20,11,87,38,2.3513513513513513,1551.01,40.81605263157895,21.87753513210788,16,Subscription,0.4210526315789473,Website,3,0,1,Champions
CUST001016,2023-11-17,2023-12-23,8,36,59,0.6206896551724138,2602.3399999999997,44.10745762711864,31.77067285673574,18,Coffee,0.3050847457627119,Website,3,0,1,Champions
CUST001017,2023-05-15,2023-12-15,16,214,42,5.219512195121951,1960.54,46.67952380952381,44.91059204482271,16,Coffee,0.3809523809523809,Website,3,0,1,Champions
CUST001018,2022-11-04,2023-12-22,9,413,42,10.073170731707316,2008.46,47.82047619047619,34.39012705402675,15,Subscription,0.3571428571428571,Website,3,0,1,Champions
CUST001019,2023-07-11,2023-12-25,6,167,34,5.0606060606060606,1528.6,44.95882352941176,37.53247828010698,16,Coffee,0.4705882352941176,Website,2,0,1,Champions
CUST001020,2022-03-05,2023-12-08,23,643,49,13.395833333333334,2129.39,43.4569387755102,38.810361385206654,16,Subscription,0.3265306122448979,Website,2,0,1,Champions
CUST001021,2023-07-29,2023-12-18,13,142,51,2.84,2494.4,48.90980392156863,35.99336991670528,17,Subscription,0.3333333333333333,Website,3,0,1,Champions
CUST001022,2023-04-30,2023-12-16,15,230,61,3.8333333333333335,2488.33,40.79229508196721,26.330520148897083,16,Subscription,0.2622950819672131,Website,3,0,1,Champions
CUST001023,2023-06-22,2023-12-25,6,186,54,3.509433962264151,2576.33,47.70981481481481,37.278417929967006,13,Subscription,0.2407407407407407,Website,3,0,1,Champions
CUST001024,2022-02-02,2023-12-20,11,686,66,10.553846153846154,2560.75,38.79924242424242,23.380343638364653,16,Coffee,0.2424242424242424,Website,3,0,1,Champions
CUST001025,2022-06-27,2023-12-16,15,537,67,8.136363636363637,3029.6,45.21791044776119,28.00293623875644,17,Subscription,0.2537313432835821,Website,3,0,1,Champions
CUST001026,2023-02-15,2023-12-23,8,311,25,12.958333333333334,1094.2,43.768,43.287805730944605,15,Coffee,0.6,Website,3,0,1,Champions
CUST001027,2023-08-23,2023-12-14,17,113,89,1.2840909090909092,4361.92,49.01033707865169,30.923661007590276,18,Subscription,0.2022471910112359,Website,3,0,1,Champions
